AWAY,HOME,DATE,DAY,CHANNEL
Philadelphia 76ers,Boston Celtics,10/16,1,TNT
Oklahoma City Thunder,Golden State Warriors,10/16,1,TNT
Milwaukee Bucks,Charlotte Hornets,10/17,2,X
Brooklyn Nets,Detroit Pistons,10/17,2,X
Memphis Grizzlies,Indiana Pacers,10/17,2,X
Miami Heat,Orlando Magic,10/17,2,X
Atlanta Hawks,New York Knicks,10/17,2,X
Cleveland Cavaliers,Toronto Raptors,10/17,2,X
New Orleans Pelicans,Houston Rockets,10/17,2,ESPN
Minnesota Timberwolves,San Antonio Spurs,10/17,2,X
Utah Jazz,Sacramento Kings,10/17,2,X
Denver Nuggets,Los Angeles Clippers,10/17,2,X
Dallas Mavericks,Phoenix Suns,10/17,2,ESPN
Chicago Bulls,Philadelphia 76ers,10/18,3,TNT
Miami Heat,Washington Wizards,10/18,3,X
Los Angeles Lakers,Portland Trail Blazers,10/18,3,TNT
Charlotte Hornets,Orlando Magic,10/19,4,X
New York Knicks,Brooklyn Nets,10/19,4,X
Boston Celtics,Toronto Raptors,10/19,4,ESPN
Atlanta Hawks,Memphis Grizzlies,10/19,4,X
Cleveland Cavaliers,Minnesota Timberwolves,10/19,4,X
Sacramento Kings,New Orleans Pelicans,10/19,4,X
Indiana Pacers,Milwaukee Bucks,10/19,4,X
Golden State Warriors,Utah Jazz,10/19,4,ESPN
Oklahoma City Thunder,Los Angeles Clippers,10/19,4,X
Brooklyn Nets,Indiana Pacers,10/20,5,X
Toronto Raptors,Washington Wizards,10/20,5,NBA TV
Boston Celtics,New York Knicks,10/20,5,X
Orlando Magic,Philadelphia 76ers,10/20,5,X
Charlotte Hornets,Miami Heat,10/20,5,X
Detroit Pistons,Chicago Bulls,10/20,5,X
Minnesota Timberwolves,Dallas Mavericks,10/20,5,X
Phoenix Suns,Denver Nuggets,10/20,5,X
San Antonio Spurs,Portland Trail Blazers,10/20,5,X
Houston Rockets,Los Angeles Lakers,10/20,5,ESPN
Atlanta Hawks,Cleveland Cavaliers,10/21,6,X
Sacramento Kings,Oklahoma City Thunder,10/21,6,X
Golden State Warriors,Denver Nuggets,10/21,6,X
Houston Rockets,Los Angeles Clippers,10/21,6,NBA TV
Orlando Magic,Boston Celtics,10/22,7,NBA TV
Charlotte Hornets,Toronto Raptors,10/22,7,X
New York Knicks,Milwaukee Bucks,10/22,7,X
Indiana Pacers,Minnesota Timberwolves,10/22,7,X
Chicago Bulls,Dallas Mavericks,10/22,7,X
Memphis Grizzlies,Utah Jazz,10/22,7,X
Washington Wizards,Portland Trail Blazers,10/22,7,X
Phoenix Suns,Golden State Warriors,10/22,7,X
San Antonio Spurs,Los Angeles Lakers,10/22,7,NBA TV
Philadelphia 76ers,Detroit Pistons,10/23,8,NBA TV
Los Angeles Clippers,New Orleans Pelicans,10/23,8,X
Sacramento Kings,Denver Nuggets,10/23,8,X
Dallas Mavericks,Atlanta Hawks,10/24,9,ESPN
Brooklyn Nets,Cleveland Cavaliers,10/24,9,X
New York Knicks,Miami Heat,10/24,9,X
Minnesota Timberwolves,Toronto Raptors,10/24,9,X
Charlotte Hornets,Chicago Bulls,10/24,9,X
Utah Jazz,Houston Rockets,10/24,9,X
Indiana Pacers,San Antonio Spurs,10/24,9,X
Philadelphia 76ers,Milwaukee Bucks,10/24,9,ESPN
Los Angeles Lakers,Phoenix Suns,10/24,9,X
Memphis Grizzlies,Sacramento Kings,10/24,9,X
Washington Wizards,Golden State Warriors,10/24,9,X
Cleveland Cavaliers,Detroit Pistons,10/25,10,X
Portland Trail Blazers,Orlando Magic,10/25,10,X
Boston Celtics,Oklahoma City Thunder,10/25,10,TNT
Denver Nuggets,Los Angeles Lakers,10/25,10,TNT
Chicago Bulls,Charlotte Hornets,10/26,11,X
Golden State Warriors,New York Knicks,10/26,11,NBA TV
Dallas Mavericks,Toronto Raptors,10/26,11,X
Los Angeles Clippers,Houston Rockets,10/26,11,X
Milwaukee Bucks,Minnesota Timberwolves,10/26,11,X
Brooklyn Nets,New Orleans Pelicans,10/26,11,X
Washington Wizards,Sacramento Kings,10/26,11,NBA TV
Boston Celtics,Detroit Pistons,10/27,12,X
Utah Jazz,New Orleans Pelicans,10/27,12,X
Chicago Bulls,Atlanta Hawks,10/27,12,X
Indiana Pacers,Cleveland Cavaliers,10/27,12,X
Charlotte Hornets,Philadelphia 76ers,10/27,12,X
Portland Trail Blazers,Miami Heat,10/27,12,X
Phoenix Suns,Memphis Grizzlies,10/27,12,X
Orlando Magic,Milwaukee Bucks,10/27,12,X
Los Angeles Lakers,San Antonio Spurs,10/27,12,X
Golden State Warriors,Brooklyn Nets,10/28,13,X
Utah Jazz,Dallas Mavericks,10/28,13,X
Phoenix Suns,Oklahoma City Thunder,10/28,13,X
Washington Wizards,Los Angeles Clippers,10/28,13,X
Portland Trail Blazers,Indiana Pacers,10/29,14,X
Atlanta Hawks,Philadelphia 76ers,10/29,14,X
Sacramento Kings,Miami Heat,10/29,14,X
Brooklyn Nets,New York Knicks,10/29,14,X
Golden State Warriors,Chicago Bulls,10/29,14,X
Toronto Raptors,Milwaukee Bucks,10/29,14,X
Los Angeles Lakers,Minnesota Timberwolves,10/29,14,NBA TV
Dallas Mavericks,San Antonio Spurs,10/29,14,X
New Orleans Pelicans,Denver Nuggets,10/29,14,X
Miami Heat,Charlotte Hornets,10/30,15,X
Atlanta Hawks,Cleveland Cavaliers,10/30,15,X
Sacramento Kings,Orlando Magic,10/30,15,X
Detroit Pistons,Boston Celtics,10/30,15,X
Philadelphia 76ers,Toronto Raptors,10/30,15,NBA TV
Portland Trail Blazers,Houston Rockets,10/30,15,X
Washington Wizards,Memphis Grizzlies,10/30,15,X
Los Angeles Clippers,Oklahoma City Thunder,10/30,15,X
Detroit Pistons,Brooklyn Nets,10/31,16,X
Indiana Pacers,New York Knicks,10/31,16,ESPN
Denver Nuggets,Chicago Bulls,10/31,16,X
Utah Jazz,Minnesota Timberwolves,10/31,16,X
New Orleans Pelicans,Golden State Warriors,10/31,16,X
Dallas Mavericks,Los Angeles Lakers,10/31,16,X
San Antonio Spurs,Phoenix Suns,10/31,16,ESPN
Oklahoma City Thunder,Charlotte Hornets,11/1,17,X
Denver Nuggets,Cleveland Cavaliers,11/1,17,X
Los Angeles Clippers,Philadelphia 76ers,11/1,17,X
Sacramento Kings,Atlanta Hawks,11/1,17,X
Milwaukee Bucks,Boston Celtics,11/1,17,TNT
New Orleans Pelicans,Portland Trail Blazers,11/1,17,TNT
Los Angeles Clippers,Orlando Magic,11/2,18,X
Houston Rockets,Brooklyn Nets,11/2,18,X
Oklahoma City Thunder,Washington Wizards,11/2,18,ESPN
Indiana Pacers,Chicago Bulls,11/2,18,X
New York Knicks,Dallas Mavericks,11/2,18,X
Memphis Grizzlies,Utah Jazz,11/2,18,X
Toronto Raptors,Phoenix Suns,11/2,18,X
Minnesota Timberwolves,Golden State Warriors,11/2,18,ESPN
Detroit Pistons,Philadelphia 76ers,11/3,19,X
Cleveland Cavaliers,Charlotte Hornets,11/3,19,X
Boston Celtics,Indiana Pacers,11/3,19,NBA TV
Miami Heat,Atlanta Hawks,11/3,19,X
Houston Rockets,Chicago Bulls,11/3,19,X
New Orleans Pelicans,San Antonio Spurs,11/3,19,X
Utah Jazz,Denver Nuggets,11/3,19,X
Los Angeles Lakers,Portland Trail Blazers,11/3,19,X
Sacramento Kings,Milwaukee Bucks,11/4,20,X
Philadelphia 76ers,Brooklyn Nets,11/4,20,X
New York Knicks,Washington Wizards,11/4,20,X
Orlando Magic,San Antonio Spurs,11/4,20,X
Memphis Grizzlies,Phoenix Suns,11/4,20,X
Minnesota Timberwolves,Portland Trail Blazers,11/4,20,X
Toronto Raptors,Los Angeles Lakers,11/4,20,X
Miami Heat,Detroit Pistons,11/5,21,X
Houston Rockets,Indiana Pacers,11/5,21,X
Cleveland Cavaliers,Orlando Magic,11/5,21,X
Chicago Bulls,New York Knicks,11/5,21,X
New Orleans Pelicans,Oklahoma City Thunder,11/5,21,NBA TV
Boston Celtics,Denver Nuggets,11/5,21,X
Toronto Raptors,Utah Jazz,11/5,21,X
Memphis Grizzlies,Golden State Warriors,11/5,21,NBA TV
Minnesota Timberwolves,Los Angeles Clippers,11/5,21,X
Atlanta Hawks,Charlotte Hornets,11/6,22,X
Washington Wizards,Dallas Mavericks,11/6,22,NBA TV
Brooklyn Nets,Phoenix Suns,11/6,22,X
Milwaukee Bucks,Portland Trail Blazers,11/6,22,X
Oklahoma City Thunder,Cleveland Cavaliers,11/7,23,X
Detroit Pistons,Orlando Magic,11/7,23,X
New York Knicks,Atlanta Hawks,11/7,23,X
San Antonio Spurs,Miami Heat,11/7,23,X
Philadelphia 76ers,Indiana Pacers,11/7,23,ESPN
Denver Nuggets,Memphis Grizzlies,11/7,23,X
Chicago Bulls,New Orleans Pelicans,11/7,23,X
Dallas Mavericks,Utah Jazz,11/7,23,X
Toronto Raptors,Sacramento Kings,11/7,23,X
Minnesota Timberwolves,Los Angeles Lakers,11/7,23,ESPN
Houston Rockets,Oklahoma City Thunder,11/8,24,TNT
Boston Celtics,Phoenix Suns,11/8,24,X
Los Angeles Clippers,Portland Trail Blazers,11/8,24,X
Milwaukee Bucks,Golden State Warriors,11/8,24,TNT
Washington Wizards,Orlando Magic,11/9,25,X
Charlotte Hornets,Philadelphia 76ers,11/9,25,NBA TV
Detroit Pistons,Atlanta Hawks,11/9,25,X
Indiana Pacers,Miami Heat,11/9,25,X
Brooklyn Nets,Denver Nuggets,11/9,25,X
Boston Celtics,Utah Jazz,11/9,25,ESPN
Minnesota Timberwolves,Sacramento Kings,11/9,25,X
New York Knicks,Toronto Raptors,11/10,26,X
Milwaukee Bucks,Los Angeles Clippers,11/10,26,X
Phoenix Suns,New Orleans Pelicans,11/10,26,X
Washington Wizards,Miami Heat,11/10,26,X
Cleveland Cavaliers,Chicago Bulls,11/10,26,X
Philadelphia 76ers,Memphis Grizzlies,11/10,26,X
Houston Rockets,San Antonio Spurs,11/10,26,NBA TV
Brooklyn Nets,Golden State Warriors,11/10,26,X
Oklahoma City Thunder,Dallas Mavericks,11/10,26,X
Los Angeles Lakers,Sacramento Kings,11/10,26,X
Charlotte Hornets,Detroit Pistons,11/11,27,X
Indiana Pacers,Houston Rockets,11/11,27,X
Orlando Magic,New York Knicks,11/11,27,X
Milwaukee Bucks,Denver Nuggets,11/11,27,X
Boston Celtics,Portland Trail Blazers,11/11,27,X
Atlanta Hawks,Los Angeles Lakers,11/11,27,X
Orlando Magic,Washington Wizards,11/12,28,X
Philadelphia 76ers,Miami Heat,11/12,28,X
New Orleans Pelicans,Toronto Raptors,11/12,28,NBA TV
Dallas Mavericks,Chicago Bulls,11/12,28,X
Utah Jazz,Memphis Grizzlies,11/12,28,X
Brooklyn Nets,Minnesota Timberwolves,11/12,28,X
Phoenix Suns,Oklahoma City Thunder,11/12,28,X
San Antonio Spurs,Sacramento Kings,11/12,28,X
Golden State Warriors,Los Angeles Clippers,11/12,28,NBA TV
Charlotte Hornets,Cleveland Cavaliers,11/13,29,NBA TV
Houston Rockets,Denver Nuggets,11/13,29,X
Atlanta Hawks,Golden State Warriors,11/13,29,NBA TV
Philadelphia 76ers,Orlando Magic,11/14,30,X
Cleveland Cavaliers,Washington Wizards,11/14,30,X
Chicago Bulls,Boston Celtics,11/14,30,X
Miami Heat,Brooklyn Nets,11/14,30,X
Detroit Pistons,Toronto Raptors,11/14,30,X
Memphis Grizzlies,Milwaukee Bucks,11/14,30,X
New Orleans Pelicans,Minnesota Timberwolves,11/14,30,ESPN
New York Knicks,Oklahoma City Thunder,11/14,30,X
Utah Jazz,Dallas Mavericks,11/14,30,X
San Antonio Spurs,Phoenix Suns,11/14,30,X
Portland Trail Blazers,Los Angeles Lakers,11/14,30,ESPN
Golden State Warriors,Houston Rockets,11/15,31,TNT
Atlanta Hawks,Denver Nuggets,11/15,31,X
San Antonio Spurs,Los Angeles Clippers,11/15,31,TNT
Toronto Raptors,Boston Celtics,11/16,32,ESPN
Miami Heat,Indiana Pacers,11/16,32,X
Utah Jazz,Philadelphia 76ers,11/16,32,X
Brooklyn Nets,Washington Wizards,11/16,32,X
Sacramento Kings,Memphis Grizzlies,11/16,32,X
Portland Trail Blazers,Minnesota Timberwolves,11/16,32,X
New York Knicks,New Orleans Pelicans,11/16,32,X
Chicago Bulls,Milwaukee Bucks,11/16,32,ESPN
Los Angeles Clippers,Brooklyn Nets,11/17,33,X
Philadelphia 76ers,Charlotte Hornets,11/17,33,X
Atlanta Hawks,Indiana Pacers,11/17,33,X
Los Angeles Lakers,Orlando Magic,11/17,33,X
Denver Nuggets,New Orleans Pelicans,11/17,33,X
Utah Jazz,Boston Celtics,11/17,33,NBA TV
Toronto Raptors,Chicago Bulls,11/17,33,X
Sacramento Kings,Houston Rockets,11/17,33,X
Golden State Warriors,Dallas Mavericks,11/17,33,X
Oklahoma City Thunder,Phoenix Suns,11/17,33,X
Memphis Grizzlies,Minnesota Timberwolves,11/18,34,X
Los Angeles Lakers,Miami Heat,11/18,34,X
New York Knicks,Orlando Magic,11/18,34,X
Portland Trail Blazers,Washington Wizards,11/18,34,X
Golden State Warriors,San Antonio Spurs,11/18,34,NBA TV
Boston Celtics,Charlotte Hornets,11/19,35,X
Cleveland Cavaliers,Detroit Pistons,11/19,35,X
Utah Jazz,Indiana Pacers,11/19,35,X
Phoenix Suns,Philadelphia 76ers,11/19,35,NBA TV
Los Angeles Clippers,Atlanta Hawks,11/19,35,X
Dallas Mavericks,Memphis Grizzlies,11/19,35,X
Denver Nuggets,Milwaukee Bucks,11/19,35,X
San Antonio Spurs,New Orleans Pelicans,11/19,35,X
Oklahoma City Thunder,Sacramento Kings,11/19,35,NBA TV
Toronto Raptors,Orlando Magic,11/20,36,X
Los Angeles Clippers,Washington Wizards,11/20,36,X
Brooklyn Nets,Miami Heat,11/20,36,X
Portland Trail Blazers,New York Knicks,11/20,36,NBA TV
Indiana Pacers,Charlotte Hornets,11/21,37,X
New Orleans Pelicans,Philadelphia 76ers,11/21,37,X
Toronto Raptors,Atlanta Hawks,11/21,37,X
New York Knicks,Boston Celtics,11/21,37,X
Los Angeles Lakers,Cleveland Cavaliers,11/21,37,ESPN
Phoenix Suns,Chicago Bulls,11/21,37,X
Detroit Pistons,Houston Rockets,11/21,37,X
Portland Trail Blazers,Milwaukee Bucks,11/21,37,X
Denver Nuggets,Minnesota Timberwolves,11/21,37,X
Brooklyn Nets,Dallas Mavericks,11/21,37,X
Memphis Grizzlies,San Antonio Spurs,11/21,37,X
Sacramento Kings,Utah Jazz,11/21,37,X
Oklahoma City Thunder,Golden State Warriors,11/21,37,ESPN
Minnesota Timberwolves,Brooklyn Nets,11/23,39,X
Memphis Grizzlies,Los Angeles Clippers,11/23,39,X
Houston Rockets,Detroit Pistons,11/23,39,NBA TV
Boston Celtics,Atlanta Hawks,11/23,39,X
New Orleans Pelicans,New York Knicks,11/23,39,X
Cleveland Cavaliers,Philadelphia 76ers,11/23,39,X
Washington Wizards,Toronto Raptors,11/23,39,X
San Antonio Spurs,Indiana Pacers,11/23,39,X
Miami Heat,Chicago Bulls,11/23,39,X
Charlotte Hornets,Oklahoma City Thunder,11/23,39,X
Phoenix Suns,Milwaukee Bucks,11/23,39,X
Orlando Magic,Denver Nuggets,11/23,39,X
Portland Trail Blazers,Golden State Warriors,11/23,39,X
Utah Jazz,Los Angeles Lakers,11/23,39,NBA TV
Houston Rockets,Cleveland Cavaliers,11/24,40,X
New Orleans Pelicans,Washington Wizards,11/24,40,X
Chicago Bulls,Minnesota Timberwolves,11/24,40,X
Denver Nuggets,Oklahoma City Thunder,11/24,40,X
Boston Celtics,Dallas Mavericks,11/24,40,X
San Antonio Spurs,Milwaukee Bucks,11/24,40,NBA TV
Sacramento Kings,Golden State Warriors,11/24,40,X
Orlando Magic,Los Angeles Lakers,11/25,41,X
